freqs,amp,phase
50,16.9,-176.0
53,16.8,-176.0
56,16.9,-176.0
59,16.9,-176.0
62,16.9,-176.0
65,16.9,-176.0
68,16.9,-176.0
71,16.9,-176.0
74,16.9,-176.0
77,16.9,182.0
80,16.9,182.0
83,16.9,182.0
86,16.9,182.0
89,16.9,182.0
92,16.9,182.0
95,16.9,182.0
98,16.9,182.0
100,16.9,182.0
117,16.9,182.0
138,16.9,182.0
163,16.9,182.0
193,16.9,182.0
227,16.9,182.0
268,16.9,182.0
316,16.9,180.0
372,16.9,180.0
439,16.9,181.0
517,16.9,180.0
610,16.9,182.0
719,16.9,180.0
848,16.9,180.0
1000,16.9,180.0
1000,16.9,180.0
1178,16.9,180.0
1389,16.9,180.0
1637,16.9,180.0
1930,16.9,180.0
2275,16.9,180.0
2682,16.9,180.0
3162,16.9,180.0
3727,16.9,180.0
4393,16.8,180.0
5179,16.9,180.0
6105,16.8,180.0
7196,16.9,180.0
8483,16.9,178.0
10000,16.9,180.0
10000,16.8,181.0
11787,16.9,180.0
13894,16.8,180.0
16378,16.9,180.0
19306,16.8,180.0
22758,16.8,176.0
26826,16.9,177.0
31622,16.8,183.0
37275,16.8,178.0
43939,16.8,179.0
51794,16.8,177.0
61054,16.8,178.0
71968,16.8,177.0
84834,16.7,176.0
100000,16.7,174.0
100000,16.7,175.0
117876,16.7,172.0
138949,16.8,176.0
163789,16.8,172.0
193069,16.6,168.0
227584,16.7,171.0
268269,16.7,165.0
316227,16.7,167.0
372759,16.6,167.0
439397,16.5,167.0
517947,16.3,161.0
610540,16.2,155.0
719685,15.9,155.0
848342,15.7,151.0
1000000,15.3,150.0
1000000,15.3,149.0
1133333,14.9,150.0
1266666,14.6,139.0
1399999,14.4,142.0
1533332,13.9,149.0
1666665,13.7,140.0
1799998,13.1,-233.0
1933331,12.9,125.0
2066664,12.3,133.0
2199997,12.3,124.0
2333330,11.9,127.0
2466663,11.6,-239.0
2599996,11.2,116.0
2733329,10.8,112.0
2866662,10.6,104.0
2999995,11.0,111.0
